Category 1,Quality,Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Wine,Premium,DF Austria,,,,,,,,,,,0.2,0.3,0.2,0.2,0.2,0.1,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.4,0.6,0.6,0.8
Wine,Premium,DF Baltics - (All Countries),,,,,,,,,,,,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.5,0.8,0.9,0.8,0.8,0.8
Wine,Premium,Others,7.3,10.4,10.7,11.6,10.4,12.4,15.4,17.2,15.2,14.8,9.1,9.0,10.8,8.5,6.6,8.1,9.3,9.2,11.6,10.1,10.9,13.3,14.1,11.4,11.6,11.2,13.6
Wine,Super Premium,Total ,3.5,2.8,8.1,9.3,10.8,11.2,10.9,10.5,9.3,9.0,9.4,10.5,12.5,14.4,14.3,16.8,17.2,20.6,23.3,23.7,36.4,46.1,56.7,57.1,62.7,54.3,62.5
Wine,Super Premium,United States,3.5,2.8,7.5,8.0,8.5,8.0,8.0,8.0,7.0,7.2,7.9,8.4,10.4,12.3,12.4,14.2,14.5,16.8,19.8,20.0,32.3,38.3,45.3,44.8,51.5,43.3,45.5
Wine,Super Premium,Germany,,,,0.0,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.5,1.2,3.5
Wine,Super Premium,DF British Isles (Inc. Ireland),,,0.6,1.3,1.5,1.0,0.9,0.8,1.3,0.6,0.6,0.6,0.5,0.8,0.7,0.8,0.8,0.8,0.8,0.5,0.6,0.4,2.5,3.2,2.2,2.3,3.3
Wine,Super Premium,France,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,4.0,3.8,2.0,2.8
Wine,Super Premium,Ireland,,,,,,0.5,0.6,0.6,0.5,0.5,0.5,0.8,0.9,0.7,0.8,1.5,1.7,2.4,1.7,1.5,1.5,2.0,1.3,1.3,1.3,1.8,1.8
Wine,Super Premium,Canada,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.5,0.8,1.2
Wine,Super Premium,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,0.1,0.3,0.3,0.3,1.1
Wine,Super Premium,South Africa,,,,,,,,,,,,0.1,0.1,0.1,0.0,,,,,0.6,0.6,0.6,0.6,0.6,0.8,0.9,0.9
Wine,Super Premium,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.5,0.5,0.6,0.6,0.5,0.6,0.6,0.7,0.8
Wine,Super Premium,Russia,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.4,0.3,0.3,0.5
Wine,Super Premium,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
Wine,Super Premium,Argentina,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.2,0.2,0.2
Wine,Super Premium,Denmark,,,,,,,,,,,,,,,,,,0.1,0.0,0.1,0.1,0.2,0.3,0.1,0.0,0.1,0.1
Wine,Super Premium,Japan,,,,,,,,,,,,,,,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Wine,Super Premium,DF US/Canada,,,,,0.1,0.2,0.2,0.3,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,,,0.1,0.0,0.0,,0.1,0.1
Wine,Super Premium,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
Wine,Super Premium,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1
Wine,Super Premium,Netherlands,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.1
